old	new	date	scene	note
2019.JPG	2019-couple-01.jpg	2019	S01	첫 만남 시기 두 사람
date before child.JPG	2020-date-01.jpg	2020	S02	아이 갖기 전 데이트
pregnent_2022 togother.JPG	2022-pregnant-01.jpg	2021-12	S04	첫째 임신 함께
pregnent_2022 togother2.JPG	2022-pregnant-02.jpg	2021-12	S04	첫째 임신 함께 2
pregnent_2022 solo.JPG	2022-pregnant-03.jpg	2021-12	S04	첫째 임신 단독
first baby grab my hand mother.JPG	2022-ermuun-01.jpg	2022-05-11	S05	갓 태어난 첫째가 엄마 손을 잡음 — 대표컷
first baby solo 2022.JPG	2022-ermuun-02.jpg	2022-05	S05	첫째 단독
2022 with first baby.JPEG	2022-autumn-01.jpg	2022-09	S06	첫째와 함께한 첫 가을 — 대표컷
couple photo 2022.JPG	2022-autumn-02.jpg	2022	S06	부부
frist baby grab my head 2022.JPG	2022-autumn-03.jpg	2022-10	S06	첫째가 아빠 머리를 잡음
first baby with grandma.JPG	2022-autumn-04.jpg	2022-11	S06	첫째와 할머니
first trip by first baby 2023.JPG	2023-trip-01.jpg	2023	S07	첫째와 떠난 첫 여행
pregnent_2024.JPG	2024-pregnant-01.jpg	2024-02	S08	둘째 임신
pregnent_2024 with frist baby and we.JPG	2024-pregnant-02.jpg	2024-03	S08	둘째 임신 + 첫째와 함께
first meet second baby with father and first baby.JPG	2024-yesulen-01.jpg	2024-03-28	S09	둘째와의 첫 만남 — 대표컷
first meet second baby with first baby and chu kiss.JPG	2024-yesulen-02.jpg	2024-03-28	S09	첫째가 둘째에게 뽀뽀
frist baby smile and fun.JPG	2024-yesulen-03.jpg	2024-03-29	S09	첫째의 웃음
frist walking the street all family 2024.JPG	2024-four-01.jpg	2024-04	S10	넷이서 첫 거리 산책 — 대표컷
frist baby second baby sleep together with grab hand.JPG	2024-four-02.jpg	2024-05-31	S10	두 아이가 손을 잡고 잠듦
second baby stodui photo 1 with first baby.JPG	2024-studio-01.jpg	2024-06-07	S10	스튜디오 — 남매
second baby stodui photo 6 with first baby.JPG	2024-studio-02.jpg	2024-06-07	S10	스튜디오 — 남매 2
second baby stodui photo 5 solo with white dress.JPG	2024-studio-03.jpg	2024-06-07	S10	스튜디오 — 흰 드레스
second baby stodui photo 3 solo with bunny closed.JPG	2024-studio-04.jpg	2024-06-07	S10	스튜디오 — 토끼옷
second baby stodui photo 4 solo with dino closed.JPG	2024-studio-05.jpg	2024-06-07	S10	스튜디오 — 공룡옷
second baby stodui photo 2 solo pony naked.JPG	2024-studio-06.jpg	2024-06-07	S10	스튜디오 — 조랑말
with all family shot 2024 december 1.JPG	2024-winter-01.jpg	2024-12-08	S11	네 식구 겨울 — 대표컷
with all family shot 2024 december 2.JPG	2024-winter-02.jpg	2024-12-08	S11	네 식구 겨울 2
2024 december cute smile second baby with father.JPG	2024-winter-03.jpg	2024-12-08	S11	둘째의 미소와 아빠
first baby bold and secund smile shot 2025 jan.JPG	2025-jan-01.jpg	2025-01-26	S12	첫째 삭발, 둘째 미소
second baby first stand up with long hair first baby 2025.DNG	2025-standup-01.jpg	2025-01-22	S12	둘째가 처음 일어섬 (RAW 변환 필요)
all family winter photo 2025.JPEG	2025-winter-01.jpg	2025-02-23	S12	네 식구 겨울
first 4 family luner year photo 1.JPG	2025-tsagaansar-01.jpg	2025-03-02	S12	넷이서 맞은 첫 차강사르
first 4 family luner year photo 2 selfe.JPG	2025-tsagaansar-02.jpg	2025-03-01	S12	차강사르 셀피
second baby first birthday all family 1.JPG	2025-yesulen-bday-01.jpg	2025-03-22	S13	둘째 첫 생일 — 대표컷
second baby first birthday all family 2 give they rose mon and dauther.JPG	2025-yesulen-bday-02.jpg	2025-03-22	S13	둘째 첫 생일, 엄마와 딸에게 장미
dauther give mom to gift first time.JPG	2025-gift-01.jpg	2025-04-11	S13	딸이 엄마에게 처음 준 선물 — 정서 포인트
happy dauther photo 1 cap .JPEG	2025-cap-01.jpg	2025-04-22	S13	모자 쓴 딸
two kids head cap photo 2025.JPEG	2025-cap-02.jpg	2025-04-22	S13	모자 쓴 두 아이
family trip with sun rise photo.JPG	2025-sunrise-01.jpg	2025-07-14	S14	가족 여행, 일출
happy family photo with summer house outside 2025.JPG	2025-summerhouse-01.jpg	2025-09-12	S14	여름집 앞 가족
walk with dauther mom grab hand winter 2025 photo 1.JPG	2025-walk-01.jpg	2025-11-29	S15	엄마와 딸의 겨울 산책 — 대표컷
walk with dauther mom grab hand winter 2025 photo 2.JPG	2025-walk-02.jpg	2025-11-29	S15	엄마와 딸의 겨울 산책 2
happy family winter with chrismas tree all together.JPG	2025-christmas-01.jpg	2025-12-07	S15	크리스마스 트리
dance with mom and two child happy.MOV	2025-dance.mp4	2025-12-07	S16	엄마와 두 아이의 춤 — 영상
mom and two child winter 2026.JPG	2026-winter-01.jpg	2026-02-20	S17	엄마와 두 아이 겨울
2026 summer house happy with old grandma take phote by first baby.JPG	2026-summerhouse-01.jpg	2026-04-17	S17	첫째가 찍어준 사진
4 year old first kids brithday cake with.JPEG	2026-ermuun-bday-01.jpg	2026-05-05	S17	첫째 네 살 생일 케이크
chil moment of summer house mom and two child and grandma 2026.JPG	2026-summerhouse-02.jpg	2026-05-09	S18	여름집의 한가로운 순간
mom and two child lake 2026 may.JPG	2026-lake-01.jpg	2026-05-23	S18	호수, 엄마와 두 아이
outside waiting the food all family 2026.JPG	2026-food-01.jpg	2026-05-23	S18	음식을 기다리며
two child give mom wild flower.JPG	2026-flower-01.jpg	2026-05-24	S18	두 아이가 엄마에게 들꽃 — 정서 포인트
first wish with all family 2026 strong wind.JPG	2026-wish-01.jpg	2026-05-30	S18	온 가족의 첫 소원, 센 바람
funny sungluss with dad and two kids in car 2026 jun.JPG	2026-car-01.jpg	2026-06-06	S18	차 안, 선글라스
mom and dad with horse and nature tavan bogd mounting.JPEG	2026-horse-01.jpg	2026-07-16	S19	타왕 복드, 부부 둘이서 말과 함께
rainy day with all together eat curry and bin.JPG	2026-rainy-01.jpg	2026-08-09	S20	비 오는 날 함께 밥
rainy day with summer house second flower veranda.JPG	2026-rainy-02.jpg	2026-08-22	S20	비 오는 날 베란다의 꽃
lake with mom two child and grandma 2026 aug.JPG	2026-lake-02.jpg	2026-08-29	S20	호수, 8월
kindergarten fist baby first day 2026 sep photo with mom and two child.JPG	2026-kindergarten-01.jpg	2026-09-01	S20	첫째 유치원 첫날 — 가장 최근
